,url,title,author,num_ratings,avg_rating,minmax_norm_ratings,mean_norm_ratings,num_pages,original_publish_year,series,genres,awards,places
865,https://www.goodreads.com/book/show/9593911-pandemonium,"Pandemonium (Delirium, #2)",Lauren Oliver,228345.0,4.04,4.6,0.77,375.0,2012,1,None,Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2012),United States
866,https://www.goodreads.com/book/show/22055262-a-darker-shade-of-magic,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,263257.0,4.07,4.77,0.95,400.0,2015,1,"Fantasy, Fiction, Young Adult, ","Grand Prix de l'Imaginaire Nominee for Roman jeunesse Ç¸tranger (2019), TÇÏhtifantasia Award Nominee (2020), Goodreads Choice Award Nominee for Fantasy (2015)",United Kingdom
867,https://www.goodreads.com/book/show/17728.The_House_of_Mirth,The House of Mirth,Edith Wharton,89756.0,3.95,4.08,0.25,351.0,1905,0,"Classics, Fiction, Historical > Historical Fiction",No Award,United States
868,https://www.goodreads.com/book/show/6567017-will-grayson-will-grayson,"Will Grayson, Will Grayson",John Green,369367.0,3.73,2.8,-1.03,310.0,2010,1,"Young Adult, Contemporary, LGBT, ","Stonewall Book Award Nominee for Children??s and Young Adult Literature (2011), Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Novel (2010), Odyssey Award Nominee (2011), Milwaukee County Teen Book Award (2011), Children's Choice Book Award for Teen Choice Book of the Year (2011)   The Inky Awards Nominee for Silver Inky (2010), Lincoln Award Nominee (2013), Goodreads Choice Award Nominee for Young Adult Fiction (2010), The Inky Awards Shortlist for Silver Inky (2010)",United States
869,https://www.goodreads.com/book/show/3099787-night-world-no-1,"Night World, No. 1 (Night World, #1-3)",L.J. Smith,62705.0,4.06,4.72,0.89,729.0,2008,1,Young AdultParanormal > VampiresFantasy,No Award,None
870,https://www.goodreads.com/book/show/16056408-easy,"Easy (Contours of the Heart, #1)",Tammara Webber,224824.0,4.08,4.83,1.01,336.0,2012,1,"Romance, New Adult, Contemporary, ","DABWAHA Romance Tournament for Best Young Adult (2013), Goodreads Choice Award Nominee for Young Adult Fiction and for Goodreads Author (2012)",None
871,https://www.goodreads.com/book/show/76171.We,We,Yevgeny Zamyatin,81795.0,3.91,3.85,0.02,226.0,1924,0,"Fiction, Science Fiction, Classics, ",No Award,OneState
872,https://www.goodreads.com/book/show/4631.A_Moveable_Feast,A Moveable Feast,Ernest Hemingway,132544.0,4.02,4.48,0.66,192.0,1964,0,"Classics, Nonfiction, Autobiography > Memoir, ",No Award,France
873,https://www.goodreads.com/book/show/24192.The_Runaway_Jury,The Runaway Jury,John Grisham,288952.0,4.0,4.37,0.54,464.0,1996,None,"Fiction, ThrillerMystery",None,United States
874,https://www.goodreads.com/book/show/18774964-a-man-called-ove,A Man Called Ove,Fredrik Backman,729380.0,4.36,6.46,2.63,337.0,2012,0,"Fiction, Contemporary, Audiobook, ",No Award,Sweden
